T_max (°C),T_min (°C),ET_0 (mm/day)
37.84063292,20.42535508,6.757134428
26.6827993,13.44199705,4.753181117
28.23257428,16.10863385,4.801552742
42.97108377,16.42924956,8.442667673
37.12858119,13.19259867,7.251284772
25.18394103,14.10365667,4.300059369
27.02943086,25.77103684,1.710613852
38.27003538,13.34391709,7.511080112
25.10123168,10.56914784,4.686645648
28.21616103,22.58709885,3.536203506
35.97467579,29.51966239,4.430620034
38.83790395,16.62427629,7.403496708
38.03922519,12.37311406,7.516746322
29.48538619,21.40774651,4.240459941
39.24358443,28.12708422,5.922249125
29.74498175,25.6812356,3.165329176
31.50799396,22.45031737,4.649469473
39.9298281,16.30112993,7.700130967
37.99265798,20.83760347,6.746776799
41.98446821,11.82489683,8.470025009
38.15225785,23.57890849,6.409449279
36.36617207,24.50192038,5.731825575
26.87349536,29.30063246,
32.35431606,15.20794717,5.940205655
30.30404735,10.36912838,5.874462908
29.87979287,20.91216929,4.462735242
44.4602111,24.13581009,8.103061075
32.86195449,25.80814952,4.31891652
42.8409311,13.87477866,8.570578133
37.62277252,15.23505738,7.219884772
40.89622607,20.25181851,7.582850743
35.05274186,16.6120162,6.46423285
36.53807769,27.21022973,5.234079337
34.85035388,19.47520307,6.082497341
28.90485976,25.99157288,2.664478285
39.44904231,21.61239521,7.04204764
30.61544725,25.46180283,3.590111216
25.48631933,16.65345973,3.985502308
37.90944592,26.62833244,5.801803763
28.54221359,15.49144631,4.96253746
43.80917169,20.92197616,8.279825237
44.07857154,14.28014226,8.847546395
43.2972878,19.51053043,8.279160923
32.40317401,16.36350419,5.828512888
25.30913233,15.33406861,4.153823699
43.56637125,29.33970036,7.059838761
33.56368297,13.20148211,6.411284235
44.33309638,25.74651675,7.859230976
44.27239954,29.68329919,7.218356519
42.06018911,10.39802967,8.547306182
30.88897784,23.98054828,4.101862346
32.70195457,15.05823611,6.04008233
42.02273343,10.80975649,8.522530192
31.3384401,18.05779158,5.343162871
28.38985493,28.7043562,
36.13602525,10.23530189,7.19626276
43.72309548,21.75771384,8.17197796
38.92059593,20.02792957,7.089089957
36.4012234,27.46768329,5.128474964
26.94352988,11.68003429,5.002163779
37.30014453,23.6305206,6.156482956
44.801077,23.60219397,8.260238501
27.8016803,23.38160034,3.147315107
35.36659305,28.8466899,4.396408226
42.54746144,26.46175058,7.237343058
39.81537236,10.83945452,8.009236317
38.94031482,19.42165701,7.160876712
39.04968168,17.95906112,7.336446707
32.18982302,16.20294442,5.793124058
30.87183689,19.0267345,5.075950367
41.18722311,17.6838837,7.900469286
41.20226789,18.646678,7.819650286
42.34144637,29.58523731,6.624699224
43.26481105,11.77265949,8.774008339
35.22684798,28.4446174,4.459640054
35.03032589,19.60473427,6.113435387
40.96590358,22.47484491,7.346557829
37.99927862,26.60365933,5.83496856
39.03933755,17.20926058,7.40268492
